Time,Type,Size
3.21798,Rx,1024
3.22822,Tx,1024
3.23437,Rx,1024
3.24461,Tx,1024
3.25075,Rx,1024
3.26099,Tx,1024
3.26714,Rx,1024
3.27738,Tx,1024
3.28352,Rx,1024
3.29376,Tx,1024
3.2999,Rx,1024
3.31014,Tx,1024
3.31629,Rx,1024
3.32653,Tx,1024
3.33267,Rx,1024
3.34291,Tx,1024
3.34906,Rx,1024
3.3593,Tx,1024
3.36544,Rx,1024
3.37568,Tx,1024
3.38182,Rx,1024
3.39206,Tx,1024
3.39821,Rx,1024
3.40845,Tx,1024
3.41459,Rx,1024
3.42483,Tx,1024
3.43098,Rx,1024
3.44122,Tx,1024
3.44736,Rx,1024
3.4576,Tx,1024
3.46374,Rx,1024
3.47398,Tx,1024
3.48013,Rx,1024
3.49037,Tx,1024
3.49651,Rx,1024
3.50675,Tx,1024
3.5129,Rx,1024
3.52314,Tx,1024
3.52928,Rx,1024
3.53952,Tx,1024
3.54566,Rx,1024
3.5559,Tx,1024
3.56205,Rx,1024
3.57229,Tx,1024
3.57843,Rx,1024
3.58867,Tx,1024
3.59482,Rx,1024
3.60506,Tx,1024
3.6112,Rx,1024
3.62144,Tx,1024
3.62758,Rx,1024
3.63782,Tx,1024
3.64397,Rx,1024
3.65421,Tx,1024
3.66035,Rx,1024
3.67059,Tx,1024
3.67674,Rx,1024
3.68698,Tx,1024
3.69312,Rx,1024
3.70336,Tx,1024
3.7095,Rx,1024
3.71974,Tx,1024
3.72589,Rx,1024
3.73613,Tx,1024
3.74227,Rx,1024
3.75251,Tx,1024
3.75866,Rx,1024
3.7689,Tx,1024
3.77504,Rx,1024
3.78528,Tx,1024
3.79142,Rx,1024
3.80166,Tx,1024
3.80781,Rx,1024
3.81805,Tx,1024
3.82419,Rx,1024
3.83443,Tx,1024
3.84058,Rx,1024
3.85082,Tx,1024
3.85696,Rx,1024
3.8672,Tx,1024
3.87334,Rx,1024
3.88358,Tx,1024
3.88973,Rx,1024
3.89997,Tx,1024
3.90611,Rx,1024
3.91635,Tx,1024
3.9225,Rx,1024
3.93274,Tx,1024
3.93888,Rx,1024
3.94912,Tx,1024
3.95526,Rx,1024
3.9655,Tx,1024
3.97165,Rx,1024
3.98189,Tx,1024
3.98803,Rx,1024
3.99827,Tx,1024
4.00442,Rx,1024
4.01466,Tx,1024
4.0208,Rx,1024
4.03104,Tx,1024
4.03718,Rx,1024
4.04742,Tx,1024
4.05357,Rx,1024
4.06381,Tx,1024
4.06995,Rx,1024
4.08019,Tx,1024
4.08634,Rx,1024
4.09658,Tx,1024
4.10272,Rx,1024
4.11296,Tx,1024
4.1191,Rx,1024
4.12934,Tx,1024
4.13549,Rx,1024
4.14573,Tx,1024
4.15187,Rx,1024
4.16211,Tx,1024
4.16826,Rx,1024
4.1785,Tx,1024
4.18464,Rx,1024
4.19488,Tx,1024
4.20102,Rx,1024
4.21126,Tx,1024
4.21741,Rx,1024
4.22765,Tx,1024
4.23379,Rx,1024
4.24403,Tx,1024
4.25018,Rx,1024
4.26042,Tx,1024
4.26656,Rx,1024
4.2768,Tx,1024
4.28294,Rx,1024
4.29318,Tx,1024
4.29933,Rx,1024
4.30957,Tx,1024
4.31571,Rx,1024
4.32595,Tx,1024
4.3321,Rx,1024
4.34234,Tx,1024
4.34848,Rx,1024
4.35872,Tx,1024
4.36486,Rx,1024
4.3751,Tx,1024
4.38125,Rx,1024
4.39149,Tx,1024
4.39763,Rx,1024
4.40787,Tx,1024
4.41402,Rx,1024
4.42426,Tx,1024
4.4304,Rx,1024
4.44064,Tx,1024
4.44678,Rx,1024
4.45702,Tx,1024
4.46317,Rx,1024
4.47341,Tx,1024
4.47955,Rx,1024
4.48979,Tx,1024
4.49594,Rx,1024
4.50618,Tx,1024
4.51232,Rx,1024
4.52256,Tx,1024
4.5287,Rx,1024
4.53894,Tx,1024
4.54509,Rx,1024
4.55533,Tx,1024
4.56147,Rx,1024
4.57171,Tx,1024
4.57786,Rx,1024
4.5881,Tx,1024
4.59424,Rx,1024
4.60448,Tx,1024
4.61062,Rx,1024
4.62086,Tx,1024
4.62701,Rx,1024
4.63725,Tx,1024
4.64339,Rx,1024
4.65363,Tx,1024
4.65978,Rx,1024
4.67002,Tx,1024
4.67616,Rx,1024
4.6864,Tx,1024
4.69254,Rx,1024
4.70278,Tx,1024
4.70893,Rx,1024
4.71917,Tx,1024
4.72531,Rx,1024
4.73555,Tx,1024
4.7417,Rx,1024
4.75194,Tx,1024
4.75808,Rx,1024
4.76832,Tx,1024
4.77446,Rx,1024
4.7847,Tx,1024
4.79085,Rx,1024
4.80109,Tx,1024
4.80723,Rx,1024
4.81747,Tx,1024
4.82362,Rx,1024
4.83386,Tx,1024
4.84,Rx,1024
4.85024,Tx,1024
4.85638,Rx,1024
4.86662,Tx,1024
4.87277,Rx,1024
4.88301,Tx,1024
4.88915,Rx,1024
4.89939,Tx,1024
4.90554,Rx,1024
4.91578,Tx,1024
4.92192,Rx,1024
4.93216,Tx,1024
4.9383,Rx,1024
4.94854,Tx,1024
4.95469,Rx,1024
4.96493,Tx,1024
4.97107,Rx,1024
4.98131,Tx,1024
4.98746,Rx,1024
4.9977,Tx,1024
5.00384,Rx,1024
5.01408,Tx,1024
5.02022,Rx,1024
5.03046,Tx,1024
5.03661,Rx,1024
5.04685,Tx,1024
5.05299,Rx,1024
5.06323,Tx,1024
5.06938,Rx,1024
5.07962,Tx,1024
5.08576,Rx,1024
5.096,Tx,1024
5.10214,Rx,1024
5.11238,Tx,1024
5.11853,Rx,1024
5.12877,Tx,1024
5.13491,Rx,1024
5.14515,Tx,1024
5.1513,Rx,1024
5.16154,Tx,1024
5.16768,Rx,1024
5.17792,Tx,1024
5.18406,Rx,1024
5.1943,Tx,1024
5.20045,Rx,1024
5.21069,Tx,1024
5.21683,Rx,1024
5.22707,Tx,1024
5.23322,Rx,1024
5.24346,Tx,1024
5.2496,Rx,1024
5.25984,Tx,1024
5.26598,Rx,1024
5.27622,Tx,1024
5.28237,Rx,1024
5.29261,Tx,1024
5.29875,Rx,1024
5.30899,Tx,1024
5.31514,Rx,1024
5.32538,Tx,1024
5.33152,Rx,1024
5.34176,Tx,1024
5.3479,Rx,1024
5.35814,Tx,1024
5.36429,Rx,1024
5.37453,Tx,1024
5.38067,Rx,1024
5.39091,Tx,1024
5.39706,Rx,1024
5.4073,Tx,1024
5.41344,Rx,1024
5.42368,Tx,1024
5.42982,Rx,1024
5.44006,Tx,1024
5.44621,Rx,1024
5.45645,Tx,1024
5.46259,Rx,1024
5.47283,Tx,1024
5.47898,Rx,1024
5.48922,Tx,1024
5.49536,Rx,1024
5.5056,Tx,1024
5.51174,Rx,1024
5.52198,Tx,1024
5.52813,Rx,1024
5.53837,Tx,1024
5.54451,Rx,1024
5.55475,Tx,1024
5.5609,Rx,1024
5.57114,Tx,1024
5.57728,Rx,1024
5.58752,Tx,1024
5.59366,Rx,1024
5.6039,Tx,1024
5.61005,Rx,1024
5.62029,Tx,1024
5.62643,Rx,1024
5.63667,Tx,1024
5.64282,Rx,1024
5.65306,Tx,1024
5.6592,Rx,1024
5.66944,Tx,1024
5.67558,Rx,1024
5.68582,Tx,1024
5.69197,Rx,1024
5.70221,Tx,1024
5.70835,Rx,1024
5.71859,Tx,1024
5.72474,Rx,1024
5.73498,Tx,1024
5.74112,Rx,1024
5.75136,Tx,1024
5.7575,Rx,1024
5.76774,Tx,1024
5.77389,Rx,1024
5.78413,Tx,1024
5.79027,Rx,1024
5.80051,Tx,1024
5.80666,Rx,1024
5.8169,Tx,1024
5.82304,Rx,1024
5.83328,Tx,1024
5.83942,Rx,1024
5.84966,Tx,1024
5.85581,Rx,1024
5.86605,Tx,1024
5.87219,Rx,1024
5.88243,Tx,1024
5.88858,Rx,1024
5.89882,Tx,1024
5.90496,Rx,1024
5.9152,Tx,1024
5.92134,Rx,1024
5.93158,Tx,1024
5.93773,Rx,1024
5.94797,Tx,1024
5.95411,Rx,1024
5.96435,Tx,1024
5.9705,Rx,1024
5.98074,Tx,1024
5.98688,Rx,1024
5.99712,Tx,1024
6.00326,Rx,1024
6.0135,Tx,1024
6.01965,Rx,1024
6.02989,Tx,1024
6.03603,Rx,1024
6.04627,Tx,1024
6.05242,Rx,1024
6.06266,Tx,1024
6.0688,Rx,1024
6.07904,Tx,1024
6.08518,Rx,1024
6.09542,Tx,1024
6.10157,Rx,1024
6.11181,Tx,1024
6.11795,Rx,1024
6.12819,Tx,1024
6.13434,Rx,1024
6.14458,Tx,1024
6.15072,Rx,1024
6.16096,Tx,1024
6.1671,Rx,1024
6.17734,Tx,1024
6.18349,Rx,1024
6.19373,Tx,1024
6.19987,Rx,1024
6.21011,Tx,1024
6.21626,Rx,1024
6.2265,Tx,1024
6.23264,Rx,1024
6.24288,Tx,1024
6.24902,Rx,1024
6.25926,Tx,1024
6.26541,Rx,1024
6.27565,Tx,1024
6.28179,Rx,1024
6.29203,Tx,1024
6.29818,Rx,1024
6.30842,Tx,1024
6.31456,Rx,1024
6.3248,Tx,1024
6.33094,Rx,1024
6.34118,Tx,1024
6.34733,Rx,1024
6.35757,Tx,1024
6.36371,Rx,1024
6.37395,Tx,1024
6.3801,Rx,1024
6.39034,Tx,1024
6.39648,Rx,1024
6.40672,Tx,1024
6.41286,Rx,1024
6.4231,Tx,1024
6.42925,Rx,1024
6.43949,Tx,1024
6.44563,Rx,1024
6.45587,Tx,1024
6.46202,Rx,1024
6.47226,Tx,1024
6.4784,Rx,1024
6.48864,Tx,1024
6.49478,Rx,1024
6.50502,Tx,1024
6.51117,Rx,1024
6.52141,Tx,1024
6.52755,Rx,1024
6.53779,Tx,1024
6.54394,Rx,1024
6.55418,Tx,1024
6.56032,Rx,1024
6.57056,Tx,1024
6.5767,Rx,1024
6.58694,Tx,1024
6.59309,Rx,1024
6.60333,Tx,1024
6.60947,Rx,1024
6.61971,Tx,1024
6.62586,Rx,1024
6.6361,Tx,1024
6.64224,Rx,1024
6.65248,Tx,1024
6.65862,Rx,1024
6.66886,Tx,1024
6.67501,Rx,1024
6.68525,Tx,1024
6.69139,Rx,1024
6.70163,Tx,1024
6.70778,Rx,1024
6.71802,Tx,1024
6.72416,Rx,1024
6.7344,Tx,1024
6.74054,Rx,1024
6.75078,Tx,1024
6.75693,Rx,1024
6.76717,Tx,1024
6.77331,Rx,1024
6.78355,Tx,1024
6.7897,Rx,1024
6.79994,Tx,1024
6.80608,Rx,1024
6.81632,Tx,1024
6.82246,Rx,1024
6.8327,Tx,1024
6.83885,Rx,1024
6.84909,Tx,1024
6.85523,Rx,1024
6.86547,Tx,1024
6.87162,Rx,1024
6.88186,Tx,1024
6.888,Rx,1024
6.89824,Tx,1024
6.90438,Rx,1024
6.91462,Tx,1024
6.92077,Rx,1024
6.93101,Tx,1024
6.93715,Rx,1024
6.94739,Tx,1024
6.95354,Rx,1024
6.96378,Tx,1024
6.96992,Rx,1024
6.98016,Tx,1024
6.9863,Rx,1024
6.99654,Tx,1024
7.00269,Rx,1024
7.01293,Tx,1024
7.01907,Rx,1024
7.02931,Tx,1024
7.03583,Rx,1024
7.0457,Tx,1024
7.05184,Rx,1024
7.06208,Tx,1024
7.06822,Rx,1024
7.07846,Tx,1024
7.08461,Rx,1024
7.09485,Tx,1024
7.10099,Rx,1024
7.11123,Tx,1024
7.11738,Rx,1024
7.12762,Tx,1024
7.13376,Rx,1024
7.144,Tx,1024
7.15014,Rx,1024
7.16038,Tx,1024
7.16653,Rx,1024
7.17677,Tx,1024
7.18291,Rx,1024
7.19315,Tx,1024
7.1993,Rx,1024
7.20954,Tx,1024
7.21568,Rx,1024
7.22592,Tx,1024
7.23206,Rx,1024
7.2423,Tx,1024
7.24845,Rx,1024
7.25869,Tx,1024
7.26483,Rx,1024
7.27507,Tx,1024
7.28122,Rx,1024
7.29146,Tx,1024
7.2976,Rx,1024
7.30784,Tx,1024
7.31408,Rx,1024
7.32422,Tx,1024
7.33037,Rx,1024
7.34061,Tx,1024
7.34675,Rx,1024
7.35699,Tx,1024
7.36314,Rx,1024
7.37338,Tx,1024
7.37952,Rx,1024
7.38976,Tx,1024
7.3959,Rx,1024
7.40614,Tx,1024
7.41229,Rx,1024
7.42253,Tx,1024
7.42867,Rx,1024
7.43891,Tx,1024
7.44506,Rx,1024
7.4553,Tx,1024
7.46144,Rx,1024
7.47168,Tx,1024
7.47782,Rx,1024
7.48806,Tx,1024
7.49421,Rx,1024
7.50445,Tx,1024
7.51059,Rx,1024
7.52083,Tx,1024
7.52698,Rx,1024
7.53722,Tx,1024
7.54336,Rx,1024
7.5536,Tx,1024
7.55974,Rx,1024
7.56998,Tx,1024
7.57613,Rx,1024
7.58637,Tx,1024
7.59251,Rx,1024
7.60275,Tx,1024
7.6089,Rx,1024
7.61914,Tx,1024
7.62528,Rx,1024
7.63552,Tx,1024
7.64166,Rx,1024
7.6519,Tx,1024
7.65805,Rx,1024
7.66829,Tx,1024
7.67443,Rx,1024
7.68467,Tx,1024
7.69082,Rx,1024
7.70106,Tx,1024
7.7072,Rx,1024
7.71744,Tx,1024
7.72358,Rx,1024
7.73382,Tx,1024
7.73997,Rx,1024
7.75021,Tx,1024
7.75635,Rx,1024
7.76659,Tx,1024
7.77274,Rx,1024
7.78298,Tx,1024
7.78912,Rx,1024
7.79936,Tx,1024
7.8055,Rx,1024
7.81574,Tx,1024
7.82189,Rx,1024
7.83213,Tx,1024
7.83827,Rx,1024
7.84851,Tx,1024
7.85466,Rx,1024
7.8649,Tx,1024
7.87104,Rx,1024
7.88128,Tx,1024
7.88742,Rx,1024
7.89766,Tx,1024
7.90381,Rx,1024
7.91405,Tx,1024
7.92019,Rx,1024
7.93043,Tx,1024
7.93658,Rx,1024
7.94682,Tx,1024
7.95296,Rx,1024
7.9632,Tx,1024
7.96934,Rx,1024
7.97958,Tx,1024
7.98573,Rx,1024
7.99597,Tx,1024
8.00211,Rx,1024
8.01235,Tx,1024
8.0185,Rx,1024
8.02874,Tx,1024
8.03488,Rx,1024
8.04512,Tx,1024
8.05126,Rx,1024
8.0615,Tx,1024
8.06765,Rx,1024
8.07789,Tx,1024
8.08403,Rx,1024
8.09427,Tx,1024
8.10042,Rx,1024
8.11066,Tx,1024
8.1168,Rx,1024
8.12704,Tx,1024
8.13318,Rx,1024
8.14342,Tx,1024
8.14957,Rx,1024
8.15981,Tx,1024
8.16595,Rx,1024
8.17619,Tx,1024
8.18234,Rx,1024
8.19258,Tx,1024
8.19872,Rx,1024
8.20896,Tx,1024
8.2151,Rx,1024
8.22534,Tx,1024
8.23149,Rx,1024
8.24173,Tx,1024
8.24787,Rx,1024
8.25811,Tx,1024
8.26426,Rx,1024
8.2745,Tx,1024
8.28064,Rx,1024
8.29088,Tx,1024
8.29702,Rx,1024
8.30726,Tx,1024
8.31341,Rx,1024
8.32365,Tx,1024
8.32979,Rx,1024
8.34003,Tx,1024
8.34618,Rx,1024
8.35642,Tx,1024
8.36256,Rx,1024
8.3728,Tx,1024
8.37894,Rx,1024
8.38918,Tx,1024
8.39533,Rx,1024
8.40557,Tx,1024
8.41171,Rx,1024
8.42195,Tx,1024
8.4281,Rx,1024
8.43834,Tx,1024
8.44448,Rx,1024
8.45472,Tx,1024
8.46086,Rx,1024
8.4711,Tx,1024
8.47725,Rx,1024
8.48749,Tx,1024
8.49363,Rx,1024
8.50387,Tx,1024
8.51002,Rx,1024
8.52026,Tx,1024
8.5264,Rx,1024
8.53664,Tx,1024
8.54278,Rx,1024
8.55302,Tx,1024
8.55917,Rx,1024
8.56941,Tx,1024
8.57555,Rx,1024
8.58579,Tx,1024
8.59194,Rx,1024
8.60218,Tx,1024
8.60832,Rx,1024
8.61856,Tx,1024
8.6247,Rx,1024
8.63494,Tx,1024
8.64109,Rx,1024
8.65133,Tx,1024
8.65747,Rx,1024
8.66771,Tx,1024
8.67386,Rx,1024
8.6841,Tx,1024
8.69024,Rx,1024
8.70048,Tx,1024
8.70662,Rx,1024
8.71686,Tx,1024
8.72301,Rx,1024
8.73325,Tx,1024
8.73939,Rx,1024
8.74963,Tx,1024
8.75578,Rx,1024
8.76602,Tx,1024
8.77216,Rx,1024
8.7824,Tx,1024
8.78854,Rx,1024
8.79878,Tx,1024
8.80493,Rx,1024
8.81517,Tx,1024
8.82131,Rx,1024
8.83155,Tx,1024
8.8377,Rx,1024
8.84794,Tx,1024
8.85408,Rx,1024
8.86432,Tx,1024
8.87046,Rx,1024
8.8807,Tx,1024
8.88685,Rx,1024
8.89709,Tx,1024
8.90323,Rx,1024
8.91347,Tx,1024
8.91962,Rx,1024
8.92986,Tx,1024
8.936,Rx,1024
8.94624,Tx,1024
8.95238,Rx,1024
8.96262,Tx,1024
8.96877,Rx,1024
8.97901,Tx,1024
8.98515,Rx,1024
8.99539,Tx,1024
9.00154,Rx,1024
9.01792,Rx,1024
9.0343,Rx,1024
9.05069,Rx,1024
